"filename", "language", "Python", "Markdown", "YAML", "Docker", "Properties", "Shell Script", "comment", "blank", "total"
"/Users/zhuyaguang/PycharmProjects/pythonProject/flab-on-k8s/front-k8s/front-zj.yaml", "YAML", 0, 0, 65, 0, 0, 0, 1, 0, 66
"/Users/zhuyaguang/PycharmProjects/pythonProject/flab-on-k8s/front-k8s/nginx.conf", "Properties", 0, 0, 0, 0, 131, 0, 6, 18, 155
"/Users/zhuyaguang/PycharmProjects/pythonProject/flab-on-k8s/java-k8s/Dockerfile", "Docker", 0, 0, 0, 4, 0, 0, 0, 1, 5
"/Users/zhuyaguang/PycharmProjects/pythonProject/flab-on-k8s/java-k8s/java.yaml", "YAML", 0, 0, 60, 0, 0, 0, 1, 0, 61
"/Users/zhuyaguang/PycharmProjects/pythonProject/flab-on-k8s/mysql/backup_secret.yaml", "YAML", 0, 0, 11, 0, 0, 0, 0, 0, 11
"/Users/zhuyaguang/PycharmProjects/pythonProject/flab-on-k8s/mysql/mysql_v1alpha1_backup.yaml", "YAML", 0, 0, 8, 0, 0, 0, 1, 0, 9
"/Users/zhuyaguang/PycharmProjects/pythonProject/flab-on-k8s/mysql/mysql_v1alpha1_mysqlcluster.yaml", "YAML", 0, 0, 72, 0, 0, 0, 11, 13, 96
"/Users/zhuyaguang/PycharmProjects/pythonProject/flab-on-k8s/mysql/secret.yaml", "YAML", 0, 0, 7, 0, 0, 0, 2, 0, 9
"/Users/zhuyaguang/PycharmProjects/pythonProject/flab-on-k8s/mysql/user.yaml", "YAML", 0, 0, 21, 0, 0, 0, 0, 2, 23
"/Users/zhuyaguang/PycharmProjects/pythonProject/milvus/hello_milvus.py", "Python", 77, 0, 0, 0, 0, 0, 62, 30, 169
